,1h,3h,6h,12h,1d,2d,4d,7d,10d,14d
0.5,897927,636958,516309,287466,68632,35047,16182,8806,6912,4761
1.0,895870,634790,507224,296083,59703,25261,11800,5993,4994,3259
1.5,963718,657506,494933,283042,49591,20603,10087,5063,4177,2792
2.0,1048256,678115,467706,251377,26035,9057,3448,1668,1183,749
2.5,1127943,686634,434609,223675,11337,2890,1247,585,435,282
3.0,1197784,684174,403306,199975,6302,1417,479,274,184,133
3.5,1257410,674095,372618,180121,3507,665,203,70,66,26
4.0,1307039,661154,344294,163669,2194,321,54,22,6,5
4.5,1345594,644178,317689,149320,1400,180,19,14,1,1
5.0,1374106,624674,295042,136037,890,84,3,0,0,0
6.0,1414231,591497,264960,108962,267,21,0,0,0,0
7.0,1440553,564184,242337,79558,84,2,0,0,0,0
8.0,1451009,536378,218428,54764,28,0,0,0,0,0
9.0,1449208,506690,190991,35310,8,0,0,0,0,0
10.0,1431434,471326,162656,22265,1,0,0,0,0,0
