,1h,3h,6h,12h,1d,2d,4d,7d,10d,14d
0.5,905,905,905,905,905,905,903,899,896,895
1.0,905,905,905,904,897,895,874,813,811,800
1.5,905,905,905,900,874,852,740,689,684,659
2.0,905,905,904,891,754,660,328,239,214,174
2.5,905,905,903,884,418,295,100,83,72,66
3.0,905,905,900,867,237,166,43,36,33,29
3.5,905,905,898,846,181,95,31,22,17,13
4.0,905,904,894,822,141,52,15,6,5,5
4.5,905,904,893,809,119,24,6,3,1,1
5.0,905,903,887,790,100,12,3,0,0,0
6.0,905,899,878,743,75,3,0,0,0,0
7.0,905,897,871,708,33,1,0,0,0,0
8.0,904,896,851,660,16,0,0,0,0,0
9.0,903,891,821,624,4,0,0,0,0,0
10.0,902,888,798,571,1,0,0,0,0,0
