#linkID, startTime
p253, 2019-02-14 22:05
p253, 2019-02-20 19:45
p253, 2019-02-25 21:50
p253, 2019-03-01 21:00
p253, 2019-03-04 23:35
p253, 2019-03-07 19:50
p253, 2019-03-10 13:05
p253, 2019-03-12 20:50
p253, 2019-03-20 17:35
p253, 2019-03-20 21:40
p253, 2019-03-22 09:05
p253, 2019-03-23 20:25
p253, 2019-03-28 19:45
p253, 2019-03-29 20:45
p253, 2019-04-02 18:40
p253, 2019-04-03 21:35
p253, 2019-04-11 19:00
p253, 2019-04-13 08:35
p253, 2019-04-14 20:15
p253, 2019-04-15 21:20
p253, 2019-04-16 22:20
p253, 2019-04-20 21:55
p253, 2019-04-24 19:25
p253, 2019-04-25 21:35
p253, 2019-05-02 13:50
p253, 2019-05-07 11:15
p253, 2019-05-08 20:05
p253, 2019-05-10 00:05
p253, 2019-05-12 22:15
p253, 2019-05-16 21:05
p253, 2019-05-19 13:40
p253, 2019-05-20 20:25
p253, 2019-05-22 12:00
p253, 2019-05-23 19:45
p253, 2019-05-25 12:15
p253, 2019-05-29 15:25
p253, 2019-05-30 20:35
p253, 2019-06-02 22:35
p253, 2019-06-03 21:35
p253, 2019-06-05 16:40
p253, 2019-06-07 17:35
p253, 2019-06-11 14:55
p253, 2019-06-13 17:40
p253, 2019-06-16 20:05
p253, 2019-06-18 11:35
p253, 2019-06-19 19:50
p253, 2019-06-21 15:25
p253, 2019-06-24 20:25
p253, 2019-06-26 12:40
p253, 2019-06-28 18:00
p253, 2019-07-03 11:30
p253, 2019-07-05 19:55
p253, 2019-07-07 14:55
p253, 2019-07-09 16:45
p253, 2019-07-11 18:50
p253, 2019-07-13 18:40
p253, 2019-07-15 08:20
p253, 2019-07-15 18:00
p253, 2019-07-16 00:05
p253, 2019-07-17 19:00
p253, 2019-07-18 15:00
p253, 2019-07-19 20:25
p253, 2019-07-20 08:30
p253, 2019-07-21 20:30
p253, 2019-07-23 17:45
p253, 2019-07-25 19:30
p253, 2019-07-26 17:45
p253, 2019-07-26 23:35
p253, 2019-07-28 20:10
p253, 2019-07-29 12:35
p253, 2019-07-30 19:35
