#linkID, startTime
p253, 2019-07-26 19:15
p253, 2019-08-27 05:40
p253, 2019-10-09 03:45
p253, 2019-10-26 13:20
p253, 2019-10-28 12:20
p253, 2019-11-01 01:20
p253, 2019-11-02 13:45
p253, 2019-11-04 15:10
p253, 2019-11-07 09:40
p253, 2019-11-10 17:35
p253, 2019-11-12 23:25
p253, 2019-11-14 13:30
p253, 2019-11-17 11:35
p253, 2019-11-19 06:30
p253, 2019-12-02 05:40
p253, 2019-12-07 10:45
p253, 2019-12-10 03:10
p253, 2019-12-13 06:55
p253, 2019-12-20 16:50
p253, 2019-12-22 09:45
p253, 2019-12-25 02:50
p253, 2019-12-29 09:50
p5, 2019-07-27 03:25
p5, 2019-07-28 15:05
p5, 2019-07-31 00:10
p5, 2019-08-25 05:15
p5, 2019-08-27 17:40
p5, 2019-09-06 17:05
p5, 2019-09-09 04:00
p5, 2019-09-13 04:50
p5, 2019-09-16 00:55
p5, 2019-10-06 19:45
p5, 2019-10-12 08:40
p5, 2019-10-15 22:40
p5, 2019-10-19 15:35
p5, 2019-10-23 14:45
p5, 2019-11-07 21:35
p5, 2019-11-19 15:35
p5, 2019-11-22 19:35
p5, 2019-11-24 15:10
p5, 2019-11-30 04:30
p5, 2019-12-02 12:55
p5, 2019-12-06 00:40
p5, 2019-12-08 03:35
p5, 2019-12-13 20:05
p5, 2019-12-21 04:25
p5, 2019-12-22 23:25
p259, 2019-07-20 20:40
p259, 2019-07-22 05:00
p259, 2019-07-22 23:10
p259, 2019-07-24 06:10
p259, 2019-12-12 04:40
p261, 2019-07-27 03:15
p261, 2019-07-28 14:50
p261, 2019-07-30 23:10
p261, 2019-08-15 04:05
p261, 2019-08-23 11:40
p261, 2019-08-27 23:55
p261, 2019-09-07 02:35
p261, 2019-09-09 09:15
p261, 2019-09-13 14:35
p261, 2019-09-16 05:05
p261, 2019-09-21 14:55
p261, 2019-10-03 10:25
p261, 2019-10-07 04:55
p261, 2019-10-12 15:40
p261, 2019-10-16 01:00
p261, 2019-10-19 18:25
p261, 2019-10-23 19:15
p261, 2019-11-22 23:10
p261, 2019-11-24 20:25
p261, 2019-11-26 08:30
p261, 2019-12-06 07:20
p261, 2019-12-21 07:40
p261, 2019-12-23 02:10
p11, 2019-07-31 07:15
p11, 2019-07-31 12:20
p11, 2019-08-04 04:40
p11, 2019-08-05 07:55
p11, 2019-09-01 04:25
p11, 2019-09-07 15:50
p11, 2019-09-10 01:05
p11, 2019-09-16 19:45
p11, 2019-09-20 02:30
p11, 2019-09-22 15:25
p11, 2019-09-29 08:50
p11, 2019-10-01 05:45
p11, 2019-11-27 05:05
p258, 2019-07-28 22:00
p258, 2019-07-31 03:25
p258, 2019-08-16 03:00
p258, 2019-08-28 03:55
p258, 2019-08-31 13:40
p258, 2019-09-07 08:50
p258, 2019-09-09 18:55
p258, 2019-09-14 03:35
p258, 2019-09-16 15:00
p258, 2019-09-22 06:25
p258, 2019-09-29 03:00
p258, 2019-10-05 00:55
p258, 2019-10-16 05:45
p258, 2019-11-23 03:50
p258, 2019-11-25 01:20
p258, 2019-11-27 00:55
p246, 2019-08-05 12:55
p246, 2019-08-12 12:15
p246, 2019-09-01 04:25
p246, 2019-09-07 18:25
p246, 2019-09-10 02:20
p246, 2019-09-17 00:35
p246, 2019-09-22 21:30
p246, 2019-09-24 17:15
p14, 2019-08-08 06:40
p247, 2019-07-31 03:50
p247, 2019-08-16 03:55
p247, 2019-08-28 07:15
p247, 2019-08-31 19:35
p247, 2019-09-03 05:45
p247, 2019-09-07 10:45
p247, 2019-09-09 20:30
p247, 2019-09-14 04:05
p247, 2019-09-16 15:40
p247, 2019-09-22 07:40
p247, 2019-09-29 04:40
p247, 2019-10-05 04:15
p247, 2019-11-25 02:35
p247, 2019-11-27 03:10
p284, 2019-07-28 18:50
p284, 2019-07-31 02:50
p284, 2019-08-15 23:05
p284, 2019-08-28 03:10
p284, 2019-08-31 10:35
p284, 2019-09-07 07:45
p284, 2019-09-09 17:30
p284, 2019-09-14 02:05
p284, 2019-09-16 13:10
p284, 2019-09-22 05:00
p284, 2019-09-29 03:00
p284, 2019-10-05 00:45
p284, 2019-10-16 05:25
p284, 2019-11-23 03:30
p284, 2019-11-25 01:05
p284, 2019-11-27 00:45
p16, 2019-01-15 00:10
p245, 2019-08-08 02:50
p245, 2019-09-01 04:55
p245, 2019-09-04 13:55
p245, 2019-09-07 11:40
p245, 2019-09-10 02:35
p245, 2019-09-14 03:45
p245, 2019-09-16 18:55
p245, 2019-09-17 10:30
p245, 2019-09-18 09:30
p245, 2019-09-18 18:35
p245, 2019-09-19 01:55
p245, 2019-09-20 00:05
p245, 2019-09-22 19:25
p245, 2019-09-23 11:00
p245, 2019-10-16 05:05
p245, 2019-11-25 03:10
p245, 2019-11-27 04:10
p250, 2019-07-27 04:25
p250, 2019-07-28 16:10
p250, 2019-07-31 01:05
p250, 2019-08-15 07:30
p250, 2019-08-23 22:40
p250, 2019-08-28 01:15
p250, 2019-09-07 04:20
p250, 2019-09-09 12:55
p250, 2019-09-13 19:30
p250, 2019-09-16 07:55
p250, 2019-09-21 23:10
p250, 2019-10-04 10:00
p250, 2019-10-12 18:30
p250, 2019-10-16 02:35
p250, 2019-10-19 22:15
p250, 2019-10-24 03:05
p250, 2019-11-23 00:35
p250, 2019-11-24 22:25
p250, 2019-11-26 17:40
p250, 2019-12-23 04:35
p289, 2019-01-15 00:10
p306, 2019-07-31 03:15
p306, 2019-08-16 01:30
p306, 2019-08-28 03:40
p306, 2019-08-31 14:10
p306, 2019-09-03 02:30
p306, 2019-09-07 08:40
p306, 2019-09-09 18:45
p306, 2019-09-14 03:10
p306, 2019-09-16 14:35
p306, 2019-09-22 05:50
p306, 2019-09-29 03:05
p306, 2019-10-05 01:30
p306, 2019-10-16 06:15
p306, 2019-11-23 04:05
p306, 2019-11-25 01:15
p306, 2019-11-27 01:05
p27, 2019-08-08 06:15
p27, 2019-08-12 09:45
p27, 2019-08-16 01:15
p27, 2019-08-17 06:55
p27, 2019-08-19 20:20
p27, 2019-08-22 08:40
p27, 2019-12-12 04:05
p27, 2019-12-22 15:40
p27, 2019-12-24 07:05
p27, 2019-12-25 02:20
p27, 2019-12-26 07:25
p315, 2019-08-08 03:50
p315, 2019-08-09 07:10
p10, 2019-05-04 11:00
p10, 2019-05-05 12:25
p10, 2019-06-22 01:40
p905, 2019-05-04 06:35
p905, 2019-06-22 15:00
p321, 2019-04-29 10:40
p321, 2019-05-14 17:40
p321, 2019-06-02 03:20
p321, 2019-06-06 06:55
p321, 2019-06-08 03:00
p321, 2019-06-09 10:50
p321, 2019-06-10 14:55
p321, 2019-06-12 03:30
p325, 2019-05-03 03:40
p325, 2019-06-21 06:55
p333, 2019-05-03 05:15
p333, 2019-06-21 01:20
p336, 2019-05-03 04:20
p336, 2019-06-20 04:15
p340, 2019-07-11 06:15
p340, 2019-07-11 06:25
p340, 2019-09-01 08:15
p340, 2019-10-29 00:45
p34, 2019-05-01 14:15
p34, 2019-05-02 18:25
p34, 2019-05-10 18:35
p34, 2019-06-14 22:15
p339, 2019-09-04 00:55
p339, 2019-11-21 03:55
p35, 2019-06-25 05:45
p35, 2019-06-26 04:50
p35, 2019-07-26 12:55
p35, 2019-07-27 07:10
p35, 2019-08-19 03:25
p35, 2019-10-13 02:05
p35, 2019-10-29 16:40
p35, 2019-10-31 06:05
p342, 2019-05-04 07:05
p342, 2019-06-17 07:40
p342, 2019-06-18 02:55
p36, 2019-07-02 16:05
p36, 2019-07-04 21:00
p36, 2019-07-24 15:15
p36, 2019-08-23 06:20
p36, 2019-08-23 13:25
p36, 2019-08-25 09:10
p344, 2019-07-06 19:55
p344, 2019-07-15 05:40
p344, 2019-07-19 09:35
p344, 2019-07-19 09:55
p344, 2019-07-19 10:35
p344, 2019-07-21 00:40
p344, 2019-08-13 06:05
p344, 2019-08-16 06:25
p344, 2019-11-05 05:15
p344, 2019-11-06 06:55
p344, 2019-12-22 13:55
p344, 2019-12-22 14:20
p344, 2019-12-22 14:30
p344, 2019-12-22 14:45
p344, 2019-12-22 17:20
p344, 2019-12-23 02:15
p344, 2019-12-28 06:25
p344, 2019-12-29 21:05
p37, 2019-05-04 10:55
p37, 2019-05-05 11:40
p37, 2019-06-24 02:40
p37, 2019-06-24 15:50
p37, 2019-08-08 08:00
p37, 2019-08-11 02:40
p37, 2019-08-11 04:20
p348, 2019-06-23 14:00
p350, 2019-04-30 14:10
p350, 2019-05-01 04:45
p353, 2019-05-04 11:55
p353, 2019-05-05 13:20
p353, 2019-06-23 21:15
p353, 2019-06-24 19:15
p356, 2019-05-04 07:30
p356, 2019-05-05 05:15
p356, 2019-05-05 05:40
p356, 2019-05-05 05:55
p356, 2019-06-23 18:45
p343, 2019-12-13 09:15
p343, 2019-12-13 10:25
p343, 2019-12-13 10:35
p343, 2019-12-13 11:05
p343, 2019-12-13 12:05
p343, 2019-12-13 12:25
p343, 2019-12-13 14:15
p345, 2019-07-15 00:05
p345, 2019-09-24 01:50
p358, 2019-11-27 06:40
p335, 2019-11-05 04:15
p349, 2019-06-23 06:10
p360, 2019-04-29 18:50
p38, 2019-06-25 02:50
p324, 2019-07-05 03:20
p324, 2019-07-06 00:35
p324, 2019-07-06 01:00
p324, 2019-07-07 15:55
p324, 2019-07-07 16:05
p324, 2019-07-07 16:20
p324, 2019-08-23 19:10
p324, 2019-08-23 19:35
p324, 2019-08-25 10:05
p1, 2019-05-04 07:35
p1, 2019-05-05 06:40
p1, 2019-06-22 00:40
p39, 2019-12-01 09:15
p39, 2019-12-01 09:30
p39, 2019-12-03 02:30
p40, 2019-05-03 03:35
p40, 2019-06-19 01:30
p347, 2019-05-04 04:05
p347, 2019-06-22 01:35
p363, 2019-04-30 12:45
p363, 2019-04-30 23:45
p363, 2019-06-21 01:40
p41, 2019-06-23 19:40
p366, 2019-06-23 17:55
p2, 2019-04-28 11:30
p2, 2019-06-22 05:55
p372, 2019-06-25 01:25
p372, 2019-08-06 03:10
p375, 2019-06-20 16:55
p375, 2019-06-21 00:35
p9, 2019-07-13 06:05
p9, 2019-07-15 11:45
p9, 2019-07-15 11:55
p9, 2019-08-04 07:55
p9, 2019-08-04 12:00
p9, 2019-08-04 12:40
p9, 2019-08-04 13:05
p9, 2019-08-06 01:30
p9, 2019-08-08 04:10
p9, 2019-10-11 21:05
p9, 2019-10-12 21:35
p9, 2019-11-03 11:50
p357, 2019-05-03 02:35
p357, 2019-06-23 16:00
p230, 2019-07-05 04:40
p230, 2019-07-05 05:15
p230, 2019-07-06 06:05
p230, 2019-07-07 08:15
p230, 2019-07-07 08:25
p230, 2019-08-25 22:45
p230, 2019-11-08 08:00
p230, 2019-11-08 08:50
p230, 2019-11-08 09:15
p230, 2019-11-08 20:20
p230, 2019-11-10 19:20
p355, 2019-05-04 13:15
p355, 2019-05-05 13:55
p355, 2019-06-23 11:45
p352, 2019-05-04 02:00
p352, 2019-06-22 04:50
p383, 2019-06-24 23:20
p229, 2019-06-24 02:40
p229, 2019-06-24 16:00
p385, 2019-08-28 08:50
p4, 2019-05-04 10:30
p4, 2019-05-05 11:55
p4, 2019-06-23 07:25
p386, 2019-06-23 05:45
p42, 2019-07-12 05:20
p42, 2019-07-28 23:05
p42, 2019-08-11 09:40
p42, 2019-08-11 11:30
p42, 2019-08-13 05:55
p42, 2019-08-16 06:35
p365, 2019-05-04 09:35
p365, 2019-05-05 11:10
p365, 2019-06-22 13:15
p387, 2019-04-30 12:15
p387, 2019-05-01 04:00
p387, 2019-05-09 07:55
p387, 2019-06-19 04:15
p43, 2019-06-23 16:30
p374, 2019-06-25 01:00
p44, 2019-05-04 09:30
p44, 2019-05-05 10:50
p44, 2019-06-23 13:35
p389, 2019-05-04 09:35
p389, 2019-05-05 11:05
p389, 2019-06-22 14:25
p332, 2019-05-01 17:45
p332, 2019-05-03 00:50
p332, 2019-05-10 21:25
p332, 2019-06-19 02:35
p384, 2019-04-30 10:45
p384, 2019-05-01 01:00
p384, 2019-05-12 04:45
p384, 2019-06-16 08:35
p391, 2019-05-01 04:40
p391, 2019-06-18 23:40
p45, 2019-06-25 00:50
p45, 2019-08-06 02:20
p393, 2019-05-04 13:00
p393, 2019-06-22 04:10
p393, 2019-09-22 18:05
p393, 2019-09-23 02:10
p393, 2019-09-23 15:25
p393, 2019-10-01 11:50
p393, 2019-10-01 12:00
p393, 2019-10-05 05:05
p46, 2019-06-23 16:25
p388, 2019-06-30 05:55
p388, 2019-07-01 22:55
p388, 2019-07-03 05:50
p388, 2019-07-28 18:45
p388, 2019-08-11 06:10
p395, 2019-05-04 06:40
p395, 2019-06-23 22:30
p395, 2019-08-20 05:10
p47, 2019-06-25 17:55
p47, 2019-06-26 06:00
p47, 2019-08-24 01:40
p47, 2019-08-25 08:45
p47, 2019-10-07 07:05
p47, 2019-11-03 04:40
p399, 2019-09-05 04:30
p399, 2019-11-30 07:30
p48, 2019-09-01 01:20
p48, 2019-09-26 04:50
p48, 2019-11-27 06:35
p390, 2019-08-28 07:50
p390, 2019-11-23 04:15
p231, 2019-02-06 03:50
p231, 2019-09-14 15:00
p402, 2019-07-13 23:00
p394, 2019-08-28 17:10
p394, 2019-11-03 04:30
p394, 2019-11-03 04:50
p404, 2019-06-23 17:00
p371, 2019-05-01 05:20
p371, 2019-05-10 16:50
p371, 2019-06-20 02:40
p392, 2019-05-01 15:15
p392, 2019-05-02 18:00
p392, 2019-05-12 03:15
p392, 2019-06-16 23:10
p408, 2019-04-07 15:40
p410, 2019-04-07 01:40
p401, 2019-06-24 12:10
p401, 2019-07-30 21:30
p401, 2019-09-11 19:40
p403, 2019-07-15 02:40
p413, 2019-05-01 14:30
p413, 2019-05-02 23:05
p413, 2019-06-23 06:10
p413, 2019-08-13 06:45
p413, 2019-08-16 06:55
p413, 2019-10-18 10:50
p413, 2019-10-18 12:05
p413, 2019-10-20 00:20
p413, 2019-10-26 15:20
p49, 2019-04-05 04:30
p49, 2019-04-06 08:45
p382, 2019-02-14 12:20
p382, 2019-02-14 13:25
p382, 2019-02-15 06:30
p382, 2019-05-25 10:05
p409, 2019-04-03 07:45
p409, 2019-04-04 23:00
p3, 2019-04-05 01:45
p3, 2019-04-06 05:30
p398, 2019-05-04 02:40
p398, 2019-06-24 03:15
p398, 2019-06-24 18:10
p398, 2019-08-26 19:50
p398, 2019-08-26 20:30
p398, 2019-08-26 22:10
p398, 2019-08-28 04:00
p398, 2019-10-11 05:05
p398, 2019-10-11 10:45
p398, 2019-10-11 23:10
p398, 2019-10-12 22:10
p398, 2019-10-29 05:25
p398, 2019-10-30 11:45
p416, 2019-09-17 08:00
p416, 2019-09-18 07:10
p416, 2019-09-18 07:30
p416, 2019-09-18 11:45
p416, 2019-09-18 13:45
p416, 2019-09-18 13:55
p416, 2019-11-03 10:05
p416, 2019-11-04 06:10
p416, 2019-11-04 06:20
p52, 2019-09-01 11:55
p50, 2019-04-30 12:25
p50, 2019-05-01 02:40
p50, 2019-06-23 01:20
p50, 2019-07-29 13:00
p50, 2019-08-13 09:45
