#linkID, startTime
p16, 2019-10-30 05:40
p16, 2019-12-28 01:50
p345, 2019-12-21 05:55
p345, 2019-12-22 08:50
p345, 2019-12-22 20:15
p345, 2019-12-24 07:50
p345, 2019-12-24 17:55
p345, 2019-12-24 18:50
p345, 2019-12-24 20:45
p345, 2019-12-24 22:45
p345, 2019-12-29 06:05
p345, 2019-12-31 01:15
PRV-2, 2019-09-22 20:55
PRV-2, 2019-09-24 10:20
PRV-2, 2019-09-28 09:50
PRV-2, 2019-09-30 09:40
PRV-2, 2019-11-12 22:35
p463, 2019-09-25 03:45
p463, 2019-09-25 08:15
p463, 2019-09-28 07:30
p463, 2019-11-08 10:35
p463, 2019-11-09 00:35
p463, 2019-11-18 06:10
p463, 2019-11-23 06:25
p463, 2019-11-25 14:45
p463, 2019-11-27 09:00
p463, 2019-12-11 11:10
p112, 2019-02-06 17:45
p673, 2019-11-23 08:00
p57, 2019-11-23 06:35
p57, 2019-11-25 18:10
p57, 2019-11-29 06:30
p159, 2019-11-01 07:00
p159, 2019-11-13 00:20
p169, 2019-09-22 23:15
p172, 2019-09-22 23:45
p784, 2019-09-16 05:25
p784, 2019-09-20 04:15
p796, 2019-12-27 11:10
p796, 2019-12-29 04:20
p796, 2019-12-31 01:15
p834, 2019-09-21 15:35
p216, 2019-09-13 01:40
p862, 2019-02-06 03:40
p862, 2019-02-06 22:40
p218, 2019-09-28 05:25
p218, 2019-12-31 06:05
p218, 2019-12-31 07:10
p218, 2019-12-31 17:20
p489, 2019-09-22 19:25
p712, 2019-11-08 08:05
p712, 2019-11-18 07:25
p712, 2019-11-20 11:10
p712, 2019-11-20 11:25
p712, 2019-11-21 06:20
p712, 2019-11-23 05:00
p712, 2019-11-26 09:55
p712, 2019-11-27 06:35
p712, 2019-12-01 11:25
p712, 2019-12-11 11:10
p759, 2019-02-04 06:10
p759, 2019-02-05 01:35
p759, 2019-12-24 03:35
p817, 2019-01-31 16:25
p817, 2019-09-13 01:45
p817, 2019-09-17 19:35
p817, 2019-09-18 00:50
p817, 2019-09-18 01:00
p826, 2019-02-04 02:20
p860, 2019-09-21 14:25
